Titulo,Genero,Plataforma,Ano,Desarrollador
The Legend of Zelda,Aventura,Nintendo,1986,
Super Mario Bros,Plataformas,Nintendo,,Nintendo
Halo: Combat Evolved,Disparos,,2001,Bungie
The Witcher 3,RPG,PC,,CD Projekt Red
Minecraft,,Multiplataforma,2011,Mojang
Final Fantasy VII,RPG,PlayStation,1997,
Dark Souls,Accion-RPG,Multiplataforma,2011,FromSoftware
Red Dead Redemption 2,Accion-Aventura,,2018,Rockstar Games
Cyberpunk 2077,RPG,Multiplataforma,2020,
Tetris,Puzzle,Multiplataforma,1984,Aleksei Pazhitnov
